depth,level,node_id,parent,is_leaf,original_quota,adjusted_quota,delta,delta_pct
5,IC,IC_Mgr_Dir_RVP_APAC_1_1_1_1,Mgr_Dir_RVP_APAC_1_1_1,True,472369.97,472369.97,0.0,0.0
5,IC,IC_Mgr_Dir_RVP_APAC_1_1_1_2,Mgr_Dir_RVP_APAC_1_1_1,True,278673.82,278673.82,0.0,0.0
5,IC,IC_Mgr_Dir_RVP_APAC_1_1_1_3,Mgr_Dir_RVP_APAC_1_1_1,True,254919.27,254919.27,0.0,0.0
5,IC,IC_Mgr_Dir_RVP_APAC_1_1_1_4,Mgr_Dir_RVP_APAC_1_1_1,True,504637.19,504637.19,0.0,0.0
5,IC,IC_Mgr_Dir_RVP_APAC_1_1_2_1,Mgr_Dir_RVP_APAC_1_1_2,True,187058.36,187058.36,0.0,0.0
5,IC,IC_Mgr_Dir_RVP_APAC_1_1_2_2,Mgr_Dir_RVP_APAC_1_1_2,True,354962.83,391840.7,36877.87,0.1039
5,IC,IC_Mgr_Dir_RVP_APAC_1_1_2_3,Mgr_Dir_RVP_APAC_1_1_2,True,497726.19,513809.47,16083.28,0.0323
5,IC,IC_Mgr_Dir_RVP_APAC_1_1_2_4,Mgr_Dir_RVP_APAC_1_1_2,True,443503.63,457644.92,14141.29,0.0319
5,IC,IC_Mgr_Dir_RVP_APAC_1_1_2_5,Mgr_Dir_RVP_APAC_1_1_2,True,335512.17,268409.73,-67102.43,-0.2
5,IC,IC_Mgr_Dir_RVP_APAC_1_1_2_6,Mgr_Dir_RVP_APAC_1_1_2,True,194309.83,194309.83,0.0,0.0
5,IC,IC_Mgr_Dir_RVP_APAC_1_1_3_1,Mgr_Dir_RVP_APAC_1_1_3,True,253184.18,303821.01,50636.84,0.2
5,IC,IC_Mgr_Dir_RVP_APAC_1_1_3_2,Mgr_Dir_RVP_APAC_1_1_3,True,358069.21,358069.21,0.0,0.0
5,IC,IC_Mgr_Dir_RVP_APAC_1_1_3_3,Mgr_Dir_RVP_APAC_1_1_3,True,380890.62,380890.62,0.0,0.0
5,IC,IC_Mgr_Dir_RVP_APAC_1_1_3_4,Mgr_Dir_RVP_APAC_1_1_3,True,188838.7,188838.7,0.0,0.0
5,IC,IC_Mgr_Dir_RVP_APAC_1_1_3_5,Mgr_Dir_RVP_APAC_1_1_3,True,513844.14,513844.14,0.0,0.0
5,IC,IC_Mgr_Dir_RVP_APAC_1_1_3_6,Mgr_Dir_RVP_APAC_1_1_3,True,338190.96,287554.12,-50636.84,-0.1497
5,IC,IC_Mgr_Dir_RVP_APAC_1_2_1_1,Mgr_Dir_RVP_APAC_1_2_1,True,458223.6,458223.6,0.0,0.0
5,IC,IC_Mgr_Dir_RVP_APAC_1_2_1_2,Mgr_Dir_RVP_APAC_1_2_1,True,429508.09,429508.09,0.0,0.0
5,IC,IC_Mgr_Dir_RVP_APAC_1_2_1_3,Mgr_Dir_RVP_APAC_1_2_1,True,179543.7,179543.7,0.0,0.0
5,IC,IC_Mgr_Dir_RVP_APAC_1_2_1_4,Mgr_Dir_RVP_APAC_1_2_1,True,336103.56,308389.68,-27713.89,-0.0825
5,IC,IC_Mgr_Dir_RVP_APAC_1_2_1_5,Mgr_Dir_RVP_APAC_1_2_1,True,336103.56,308389.68,-27713.89,-0.0825
5,IC,IC_Mgr_Dir_RVP_APAC_1_2_1_6,Mgr_Dir_RVP_APAC_1_2_1,True,277138.86,332566.63,55427.77,0.2
5,IC,IC_Mgr_Dir_RVP_APAC_1_2_2_1,Mgr_Dir_RVP_APAC_1_2_2,True,205985.13,205985.13,0.0,0.0
5,IC,IC_Mgr_Dir_RVP_APAC_1_2_2_2,Mgr_Dir_RVP_APAC_1_2_2,True,510214.72,510214.72,0.0,0.0
5,IC,IC_Mgr_Dir_RVP_APAC_1_2_2_3,Mgr_Dir_RVP_APAC_1_2_2,True,368692.95,435637.99,66945.04,0.1816
5,IC,IC_Mgr_Dir_RVP_APAC_1_2_2_4,Mgr_Dir_RVP_APAC_1_2_2,True,254008.03,254008.03,0.0,0.0
5,IC,IC_Mgr_Dir_RVP_APAC_1_2_2_5,Mgr_Dir_RVP_APAC_1_2_2,True,334725.21,267780.17,-66945.04,-0.2
5,IC,IC_Mgr_Dir_RVP_APAC_1_3_1_1,Mgr_Dir_RVP_APAC_1_3_1,True,268399.75,268399.75,0.0,0.0
5,IC,IC_Mgr_Dir_RVP_APAC_1_3_1_2,Mgr_Dir_RVP_APAC_1_3_1,True,248745.13,248745.13,0.0,0.0
5,IC,IC_Mgr_Dir_RVP_APAC_1_3_1_3,Mgr_Dir_RVP_APAC_1_3_1,True,149656.38,149656.38,0.0,0.0
5,IC,IC_Mgr_Dir_RVP_APAC_1_3_1_4,Mgr_Dir_RVP_APAC_1_3_1,True,304212.86,337151.94,32939.08,0.1083
5,IC,IC_Mgr_Dir_RVP_APAC_1_3_1_5,Mgr_Dir_RVP_APAC_1_3_1,True,247080.93,247080.93,0.0,0.0
5,IC,IC_Mgr_Dir_RVP_APAC_1_3_1_6,Mgr_Dir_RVP_APAC_1_3_1,True,273463.53,218770.82,-54692.71,-0.2
