depth,level,node_id,parent,is_leaf,cascaded_quota,share_of_parent,is_gated
0,Global,Global_Corp,,False,50000000.0,1.0,False
1,Region,APAC,Global_Corp,False,15772516.95,0.31545,False
1,Region,EMEA,Global_Corp,False,12115346.08,0.242307,False
1,Region,NA,Global_Corp,False,24612136.98,0.492243,False
2,RVP,RVP_APAC_1,APAC,False,16561142.8,1.05,False
2,RVP,RVP_EMEA_1,EMEA,False,12721113.38,1.05,False
2,RVP,RVP_NA_1,NA,False,14128138.19,0.574031,False
2,RVP,RVP_NA_2,NA,False,11714605.63,0.475969,False
3,Director,Dir_RVP_APAC_1_1,RVP_APAC_1,False,6045551.04,0.365044,False
3,Director,Dir_RVP_APAC_1_2,RVP_APAC_1,False,5884923.87,0.355345,False
3,Director,Dir_RVP_APAC_1_3,RVP_APAC_1,False,5458725.02,0.32961,False
3,Director,Dir_RVP_EMEA_1_1,RVP_EMEA_1,False,5657514.98,0.444734,False
3,Director,Dir_RVP_EMEA_1_2,RVP_EMEA_1,False,7699654.07,0.605266,False
3,Director,Dir_RVP_NA_1_1,RVP_NA_1,False,4516208.68,0.319661,False
3,Director,Dir_RVP_NA_1_2,RVP_NA_1,False,6013489.21,0.425639,False
3,Director,Dir_RVP_NA_1_3,RVP_NA_1,False,4304847.21,0.3047,False
3,Director,Dir_RVP_NA_2_1,RVP_NA_2,False,5734084.0,0.489482,False
3,Director,Dir_RVP_NA_2_2,RVP_NA_2,False,6566251.91,0.560518,False
4,Manager,Mgr_Dir_RVP_APAC_1_1_1,Dir_RVP_APAC_1_1,False,0.0,0.0,True
4,Manager,Mgr_Dir_RVP_APAC_1_1_2,Dir_RVP_APAC_1_1,False,3340793.27,0.552604,False
4,Manager,Mgr_Dir_RVP_APAC_1_1_3,Dir_RVP_APAC_1_1,False,3007035.32,0.497396,False
4,Manager,Mgr_Dir_RVP_APAC_1_2_1,Dir_RVP_APAC_1_2,False,2996279.27,0.509145,False
4,Manager,Mgr_Dir_RVP_APAC_1_2_2,Dir_RVP_APAC_1_2,False,3182890.79,0.540855,False
4,Manager,Mgr_Dir_RVP_APAC_1_3_1,Dir_RVP_APAC_1_3,False,1637062.93,0.299898,False
4,Manager,Mgr_Dir_RVP_APAC_1_3_2,Dir_RVP_APAC_1_3,False,1519820.47,0.27842,False
4,Manager,Mgr_Dir_RVP_APAC_1_3_3,Dir_RVP_APAC_1_3,False,1256554.31,0.230192,False
4,Manager,Mgr_Dir_RVP_APAC_1_3_4,Dir_RVP_APAC_1_3,False,1318223.57,0.241489,False
4,Manager,Mgr_Dir_RVP_EMEA_1_1_1,Dir_RVP_EMEA_1_1,False,2553069.52,0.45127,False
4,Manager,Mgr_Dir_RVP_EMEA_1_1_2,Dir_RVP_EMEA_1_1,False,3387321.21,0.59873,False
4,Manager,Mgr_Dir_RVP_EMEA_1_2_1,Dir_RVP_EMEA_1_2,False,4751742.77,0.617137,False
4,Manager,Mgr_Dir_RVP_EMEA_1_2_2,Dir_RVP_EMEA_1_2,False,3332894.01,0.432863,False
4,Manager,Mgr_Dir_RVP_NA_1_1_1,Dir_RVP_NA_1_1,False,1417237.81,0.313811,False
4,Manager,Mgr_Dir_RVP_NA_1_1_2,Dir_RVP_NA_1_1,False,1045915.14,0.231591,False
4,Manager,Mgr_Dir_RVP_NA_1_1_3,Dir_RVP_NA_1_1,False,1512120.28,0.334821,False
4,Manager,Mgr_Dir_RVP_NA_1_1_4,Dir_RVP_NA_1_1,False,766745.89,0.169776,False
4,Manager,Mgr_Dir_RVP_NA_1_2_1,Dir_RVP_NA_1_2,False,1754514.34,0.291763,False
4,Manager,Mgr_Dir_RVP_NA_1_2_2,Dir_RVP_NA_1_2,False,1560007.74,0.259418,False
4,Manager,Mgr_Dir_RVP_NA_1_2_3,Dir_RVP_NA_1_2,False,1585749.15,0.263699,False
4,Manager,Mgr_Dir_RVP_NA_1_2_4,Dir_RVP_NA_1_2,False,1413892.45,0.23512,False
4,Manager,Mgr_Dir_RVP_NA_1_3_1,Dir_RVP_NA_1_3,False,1899477.58,0.441242,False
4,Manager,Mgr_Dir_RVP_NA_1_3_2,Dir_RVP_NA_1_3,False,2620611.99,0.608758,False
4,Manager,Mgr_Dir_RVP_NA_2_1_1,Dir_RVP_NA_2_1,False,1910778.23,0.333232,False
4,Manager,Mgr_Dir_RVP_NA_2_1_2,Dir_RVP_NA_2_1,False,1680202.99,0.29302,False
4,Manager,Mgr_Dir_RVP_NA_2_1_3,Dir_RVP_NA_2_1,False,2429806.99,0.423748,False
4,Manager,Mgr_Dir_RVP_NA_2_2_1,Dir_RVP_NA_2_2,False,2123370.17,0.323376,False
4,Manager,Mgr_Dir_RVP_NA_2_2_2,Dir_RVP_NA_2_2,False,2561437.5,0.390091,False
4,Manager,Mgr_Dir_RVP_NA_2_2_3,Dir_RVP_NA_2_2,False,2209756.84,0.336532,False
5,IC,IC_Mgr_Dir_RVP_APAC_1_1_1_1,Mgr_Dir_RVP_APAC_1_1_1,True,0.0,,True
5,IC,IC_Mgr_Dir_RVP_APAC_1_1_1_2,Mgr_Dir_RVP_APAC_1_1_1,True,0.0,,True
